Date,AUDTHB,AUDJPY,AUDUSD
2-Jun-09,27.67,78.13,0.821
3-Jun-09,27.1,76.98,0.8004
4-Jun-09,27.316,77.29,0.8025
5-Jun-09,26.84,79.27,0.7933
8-Jun-09,26.97,77.95,0.7889
9-Jun-09,27.07,78,0.8007
10-Jun-09,27.16,78.86,0.8019
11-Jun-09,27.7,79.99,0.8188
12-Jun-09,27.792,80.08,0.8123
15-Jun-09,26.9,77.55,0.7952
16-Jun-09,26.7,75.65,0.7934
17-Jun-09,26.96,76.44,0.7925
18-Jun-09,27.06,77.3,0.7992
19-Jun-09,27.445,77.55,0.8063
22-Jun-09,26.51,74.74,0.7857
23-Jun-09,26.86,75.71,0.7941
24-Jun-09,27.142,76.26,0.7959
25-Jun-09,27.271,77.03,0.803
26-Jun-09,27.453,76.83,0.8074
29-Jun-09,27.33,77.85,0.807
30-Jun-09,27.23,77.6,0.807
1-Jul-09,27.29,78.08,0.8084
2-Jul-09,26.81,75.98,0.7928
3-Jul-09,27.012,76.5,0.7971
6-Jul-09,26.94,75.92,0.7972
7-Jul-09,26.59,74.42,0.7894
8-Jul-09,26.28,72.06,0.7787
9-Jul-09,26.48,73.07,0.7829
10-Jul-09,26.29,72.05,0.7788
13-Jul-09,26.52,72.96,0.783
14-Jul-09,26.86,74.4,0.7947
15-Jul-09,27.05,75.43,0.8036
16-Jul-09,27.1,75.26,0.8056
17-Jul-09,27.06,75.55,0.8024
20-Jul-09,27.42,76.6,0.8155
21-Jul-09,27.46,76.23,0.8186
22-Jul-09,27.48,76.3,0.8157
23-Jul-09,27.43,77.35,0.8133
24-Jul-09,27.51,77.48,0.8174
27-Jul-09,27.67,78.22,0.8228
28-Jul-09,27.74,77.79,0.8269
29-Jul-09,27.51,77.51,0.8168
30-Jul-09,27.84,78.82,0.8255
31-Jul-09,28.2,79.11,0.8354
3-Aug-09,28.39,80.21,0.8418
4-Aug-09,28.45,80.48,0.8453
5-Aug-09,28.31,79.68,0.8407
6-Aug-09,28.32,80.26,0.839
7-Aug-09,28.22,81.68,0.8372
10-Aug-09,28.21,81.13,0.8377
11-Aug-09,28.25,79.6,0.8296
12-Aug-09,28.41,80.21,0.8324
13-Aug-09,28.69,80.31,0.8428
14-Aug-09,28.33,79.04,0.8327
17-Aug-09,28.04,77.79,0.8208
18-Aug-09,28.24,78.69,0.8259
19-Aug-09,28.27,78.14,0.8295
20-Aug-09,28.31,78.41,0.8309
21-Aug-09,28.39,78.77,0.8348
24-Aug-09,28.49,79.04,0.8382
25-Aug-09,28.33,78.28,0.8345
26-Aug-09,28.14,77.85,0.8272
27-Aug-09,28.6,78.71,0.8401
28-Aug-09,28.62,78.76,0.8421
31-Aug-09,28.65,78.26,0.8445
1-Sep-09,28.1,76.54,0.8264
2-Sep-09,28.42,76.97,0.8337
3-Sep-09,28.59,77.82,0.8404
4-Sep-09,28.97,79.14,0.8508
7-Sep-09,29.12,79.49,0.8555
8-Sep-09,29.38,79.71,0.8616
9-Sep-09,29.33,79.43,0.8629
10-Sep-09,29.35,79.11,0.8632
11-Sep-09,29.32,78.32,0.8637
14-Sep-09,29.28,78.36,0.8618
15-Sep-09,29.295,78.58,0.8632
16-Sep-09,29.435,79.47,0.8728
17-Sep-09,29.345,79.4,0.8721
18-Sep-09,29.24,79.18,0.8676
21-Sep-09,29.145,79.56,0.863
22-Sep-09,29.43,79.51,0.8736
23-Sep-09,29.175,79.39,0.8699
24-Sep-09,29.035,78.39,0.8648
25-Sep-09,29.13,77.78,0.8682
28-Sep-09,29.32,78.46,0.8728
29-Sep-09,29.385,78.88,0.871
30-Sep-09,29.555,79.43,0.8837
1-Oct-09,29.09,77.68,0.8708
2-Oct-09,28.99,77.72,0.8652
5-Oct-09,29.33,78.64,0.8773
6-Oct-09,29.675,79.07,0.8906
7-Oct-09,29.815,79.1,0.8912
8-Oct-09,30.115,80.25,0.9061
9-Oct-09,30.12,81.11,0.9039
12-Oct-09,30.265,81.47,0.9068
13-Oct-09,30.195,81.51,0.9084
14-Oct-09,30.655,82,0.9155
15-Oct-09,30.925,83.97,0.921
16-Oct-09,30.64,83.33,0.9165
19-Oct-09,30.995,84.26,0.9286
20-Oct-09,30.885,83.92,0.9236
21-Oct-09,30.975,84.28,0.9273
22-Oct-09,31.035,84.89,0.9266
23-Oct-09,30.86,84.92,0.9224
26-Oct-09,30.65,84.46,0.9161
27-Oct-09,30.695,84.11,0.9166
28-Oct-09,30.075,81.4,0.8978
29-Oct-09,30.595,83.69,0.9156
30-Oct-09,30.1,81.07,0.8993
2-Nov-09,30.255,81.83,0.9034
3-Nov-09,30.245,81.75,0.9028
4-Nov-09,30.385,82.47,0.9108
5-Nov-09,30.425,82.65,0.9112
6-Nov-09,30.67,82.58,0.9188
9-Nov-09,31.015,83.68,0.9298
10-Nov-09,30.995,83.46,0.9304
11-Nov-09,30.975,83.67,0.9303
12-Nov-09,30.825,83.53,0.9227
13-Nov-09,31.03,83.67,0.9335
16-Nov-09,31.095,83.39,0.9371
17-Nov-09,30.905,83.07,0.9308
18-Nov-09,30.775,82.99,0.9297
19-Nov-09,30.505,81.72,0.9195
20-Nov-09,30.39,81.29,0.9156
23-Nov-09,30.645,82.07,0.9243
24-Nov-09,30.605,81.61,0.9187
25-Nov-09,30.785,81.19,0.9317
26-Nov-09,29.94,77,0.9129
27-Nov-09,30.14,78.43,0.9069
30-Nov-09,30.495,79.18,0.9151
1-Dec-09,30.69,80.18,0.9254
2-Dec-09,30.755,81.3,0.9252
